            , "JIM INHOFE (R)
              ============"  , "DAVID WALTERS (D)
                               ============="    , "JAMES GERMALIC (I)
                                                   =============="    , "TOTAL VOTES
                                                                        ======="
ADAIR       , "2,867"        , "2,690"           , 372                , "5,929"
ALFALFA     , "1,358"        , 542               , 117                , "2,017"
ATOKA       , "1,661"        , "1,822"           , 245                , "3,728"
BEAVER      , "1,513"        , 384               , 38                 , "1,935"
BECKHAM     , "2,594"        , "2,372"           , 201                , "5,167"
BLAINE      , "2,046"        , "1,039"           , 238                , "3,323"
BRYAN       , "4,394"        , "4,769"           , 594                , "9,757"
CADDO       , "3,608"        , "3,520"           , 512                , "7,640"
CANADIAN    , "19,493"       , "6,947"           , "1,748"            , "28,188"
CARTER      , "7,017"        , "5,346"           , 821                , "13,184"
CHEROKEE    , "5,356"        , "6,011"           , "1,182"            , "12,549"
CHOCTAW     , "1,451"        , "2,165"           , 163                , "3,779"
CIMARRON    , 974            , 255               , 39                 , "1,268"
CLEVELAND   , "39,025"       , "21,088"          , "4,204"            , "64,317"
COAL        , 776            , "1,116"           , 104                , "1,996"
COMANCHE    , "12,100"       , "8,061"           , "1,330"            , "21,491"
COTTON      , 886            , 782               , 132                , "1,800"
CRAIG       , "2,002"        , "1,997"           , 426                , "4,425"
CREEK       , "10,664"       , "7,224"           , "1,757"            , "19,645"
CUSTER      , "4,840"        , "2,781"           , 348                , "7,969"
DELAWARE    , "5,463"        , "4,400"           , 783                , "10,646"
DEWEY       , "1,103"        , 586               , 123                , "1,812"
ELLIS       , "1,057"        , 472               , 78                 , "1,607"
GARFIELD    , "11,609"       , "4,675"           , "1,059"            , "17,343"
GARVIN      , "4,500"        , "3,611"           , 612                , "8,723"
GRADY       , "8,128"        , "4,904"           , "1,058"            , "14,090"
GRANT       , "1,357"        , 620               , 142                , "2,119"
GREER       , 926            , 875               , 89                 , "1,890"
HARMON      , 397            , 403               , 47                 , 847
HARPER      , 972            , 354               , 64                 , "1,390"
HASKELL     , "1,466"        , "2,392"           , 239                , "4,097"
HUGHES      , "1,746"        , "2,002"           , 283                , "4,031"
JACKSON     , "4,039"        , "1,889"           , 263                , "6,191"
JEFFERSON   , 804            , 984               , 87                 , "1,875"
JOHNSTON    , "1,399"        , "1,613"           , 273                , "3,285"
KAY         , "9,599"        , "4,606"           , "1,194"            , "15,399"
KINGFISHER  , "3,553"        , 975               , 279                , "4,807"
KIOWA       , "1,415"        , "1,453"           , 171                , "3,039"
LATIMER     , "1,234"        , "1,771"           , 188                , "3,193"
LeFLORE     , "4,938"        , "6,407"           , 319                , "11,664"
LINCOLN     , "6,472"        , "3,802"           , 821                , "11,095"
LOGAN       , "7,051"        , "3,316"           , 731                , "11,098"
LOVE        , "1,199"        , "1,309"           , 172                , "2,680"
McCLAIN     , "5,813"        , "3,098"           , 693                , "9,604"
McCURTAIN   , "3,367"        , "4,850"           , 244                , "8,461"
McINTOSH    , "2,689"        , "3,367"           , 571                , "6,627"
MAJOR       , "1,921"        , 660               , 158                , "2,739"
MARSHALL    , "1,966"        , "1,897"           , 306                , "4,169"
MAYES       , "5,726"        , "5,498"           , "1,003"            , "12,227"
MURRAY      , "1,999"        , "2,028"           , 328                , "4,355"
MUSKOGEE    , "8,960"        , "9,513"           , "1,442"            , "19,915"
NOBLE       , "2,703"        , "1,170"           , 292                , "4,165"
NOWATA      , "1,843"        , "1,508"           , 258                , "3,609"
OKFUSKEE    , "1,527"        , "1,625"           , 258                , "3,410"
OKLAHOMA    , "116,737"      , "58,759"          , "10,783"           , "186,279"
OKMULGEE    , "4,809"        , "5,068"           , 977                , "10,854"
OSAGE       , "6,642"        , "5,891"           , "1,121"            , "13,654"
OTTAWA      , "3,542"        , "4,332"           , 504                , "8,378"
PAWNEE      , "2,569"        , "1,928"           , 406                , "4,903"
PAYNE       , "11,698"       , "6,720"           , "1,324"            , "19,742"
PITTSBURG   , "7,044"        , "7,302"           , 950                , "15,296"
PONTOTOC    , "5,633"        , "3,915"           , 668                , "10,216"
POTTAWATOMIE, "10,749"       , "7,104"           , "1,384"            , "19,237"
PUSHMATAHA  , "1,576"        , "1,911"           , 192                , "3,679"
ROGER MILLS , 829            , 514               , 71                 , "1,414"
ROGERS      , "14,111"       , "8,626"           , "1,868"            , "24,605"
SEMINOLE    , "3,374"        , "3,538"           , 424                , "7,336"
SEQUOYAH    , "4,029"        , "4,668"           , 419                , "9,116"
STEPHENS    , "7,701"        , "5,269"           , "1,067"            , "14,037"
TEXAS       , "3,437"        , "1,309"           , 104                , "4,850"
TILLMAN     , "1,241"        , "1,198"           , 135                , "2,574"
TULSA       , "105,620"      , "56,321"          , "10,256"           , "172,197"
WAGONER     , "10,540"       , "6,367"           , "1,446"            , "18,353"
WASHINGTON  , "10,626"       , "5,057"           , "1,183"            , "16,866"
WASHITA     , "1,855"        , "1,724"           , 156                , "3,735"
WOODS       , "1,853"        , "1,084"           , 129                , "3,066"
WOODWARD    , "3,798"        , "1,640"           , 290                , "5,728"
STATE TOTAL:, "583,579"      , "369,789"         , "65,056"           , "1,018,424"
